model,benzerlik_tipi,token_tipi,ortak_sonuc_sayisi,manuel_puan (1-5),yorum
tfidf_lemmatized,tfidf,lemmatized,,,
tfidf_stemmed,tfidf,stemmed,,,
word2vec_lemmatized_cbow_win2_dim100,word2vec,lemmatized,,,
word2vec_lemmatized_skipgram_win2_dim100,word2vec,lemmatized,,,
word2vec_lemmatized_cbow_win4_dim100,word2vec,lemmatized,,,
word2vec_lemmatized_skipgram_win4_dim100,word2vec,lemmatized,,,
word2vec_lemmatized_cbow_win2_dim300,word2vec,lemmatized,,,
word2vec_lemmatized_skipgram_win2_dim300,word2vec,lemmatized,,,
word2vec_lemmatized_cbow_win4_dim300,word2vec,lemmatized,,,
word2vec_lemmatized_skipgram_win4_dim300,word2vec,lemmatized,,,
word2vec_stemmed_cbow_win2_dim100,word2vec,stemmed,,,
word2vec_stemmed_skipgram_win2_dim100,word2vec,stemmed,,,
word2vec_stemmed_cbow_win4_dim100,word2vec,stemmed,,,
word2vec_stemmed_skipgram_win4_dim100,word2vec,stemmed,,,
word2vec_stemmed_cbow_win2_dim300,word2vec,stemmed,,,
word2vec_stemmed_skipgram_win2_dim300,word2vec,stemmed,,,
word2vec_stemmed_cbow_win4_dim300,word2vec,stemmed,,,
word2vec_stemmed_skipgram_win4_dim300,word2vec,stemmed,,,
